
 Node          U1          U2          U3
 -9.733e-09  -6.342e-09   4.868e-11  -7.972e-09   4.296e-08   4.135e-08
  9.613e-09   4.521e-09  -2.475e-09   3.997e-09   2.110e-08  -5.488e-08
 -9.733e-09  -2.909e-09  -2.475e-09  -5.764e-09   2.156e-08  -5.538e-08
  7.246e-09   6.534e-09  -5.203e-12   4.350e-09  -2.141e-08   3.516e-08
 -7.525e-09  -6.342e-09  -5.203e-12  -4.539e-09  -2.143e-08   3.513e-08
  7.246e-09   4.521e-09  -1.483e-10   1.984e-09  -1.605e-08  -3.870e-08
 -7.525e-09  -2.909e-09  -1.483e-10  -2.331e-09  -1.559e-08  -3.873e-08
Element     3
  6.070e-09   2.767e-09  -2.206e-11   1.674e-09   1.571e-08   3.057e-08
 -6.361e-09  -2.540e-09  -2.206e-11  -1.744e-09   1.571e-08   3.067e-08
  6.070e-09   2.601e-09   5.005e-10   8.267e-10   1.529e-08  -3.159e-08
 -6.361e-09  -2.492e-09   5.005e-10  -7.720e-10   1.518e-08  -3.148e-08
  5.223e-09   2.767e-09  -1.424e-11   1.507e-09  -1.083e-08   2.473e-08
 -5.389e-09  -2.540e-09  -1.424e-11  -1.696e-09  -1.083e-08   2.472e-08
  5.223e-09   2.601e-09  -5.327e-11   6.603e-10  -1.018e-08  -2.833e-08
 -5.389e-09  -2.492e-09  -5.327e-11  -7.242e-10  -1.029e-08  -2.834e-08
Element     4
  4.837e-09   1.898e-09  -1.309e-11   7.584e-10   9.727e-09   2.266e-08
 -4.978e-09  -1.698e-09  -1.309e-11  -7.220e-10   9.726e-09   2.264e-08
  4.837e-09   1.790e-09  -1.226e-10   5.509e-10   9.308e-09  -2.641e-08
 -4.978e-09  -1.606e-09  -1.226e-10  -5.721e-10   9.381e-09  -2.643e-08
  4.629e-09   1.898e-09  -1.776e-11   6.512e-10  -8.252e-09   2.286e-08
 -4.828e-09  -1.698e-09  -1.776e-11  -6.294e-10  -8.253e-09   2.291e-08
  4.629e-09   1.790e-09   2.418e-10   4.438e-10  -7.672e-09  -2.443e-08
 -4.828e-09  -1.606e-09   2.418e-10  -4.795e-10  -7.599e-09  -2.437e-08
Element     5
  4.839e-09   2.806e-09  -9.689e-12  -8.824e-10   9.791e-09   2.347e-08
 -5.024e-09  -2.645e-09  -9.689e-12   9.753e-10   9.797e-09   2.345e-08
  4.839e-09   1.759e-09  -6.188e-11  -1.019e-10   6.933e-09  -2.585e-08
 -5.024e-09  -8.880e-10  -6.188e-11   2.899e-10   6.694e-09  -2.586e-08
  5.620e-09   2.806e-09   1.703e-11  -1.930e-09  -1.746e-08   2.492e-08
 -5.709e-09  -2.645e-09   1.703e-11   2.732e-09  -1.746e-08   2.467e-08
  5.620e-09   1.759e-09  -1.256e-09  -1.149e-09  -6.301e-09  -3.173e-08
 -5.709e-09  -8.880e-10  -1.256e-09   2.047e-09  -6.540e-09  -3.198e-08
Element     6
  6.150e-09   5.002e-09   4.948e-11  -1.298e-09   2.166e-08   2.098e-08
 -6.447e-09  -5.163e-09   4.948e-11   3.157e-09   2.167e-08   2.099e-08
  6.150e-09   6.803e-09   1.008e-10  -6.276e-10   1.488e-08  -4.201e-08
 -6.447e-09  -7.617e-09   1.008e-10   1.827e-09   1.586e-08  -4.200e-08
  6.820e-09   5.002e-09   1.114e-10   5.034e-10  -2.916e-08   8.764e-09
 -7.777e-09  -5.163e-09   1.114e-10   7.032e-10  -2.915e-08   9.742e-09
  6.820e-09   6.803e-09   5.002e-09   1.173e-09  -5.722e-08  -6.422e-08
 -7.777e-09  -7.617e-09   5.002e-09  -6.266e-10  -5.624e-08  -6.325e-08
Element     7
 -2.191e-09   5.805e-09  -1.643e-10  -4.711e-09   2.144e-08  -1.942e-08
  3.695e-09  -5.965e-09  -1.643e-10   4.338e-09   2.147e-08  -1.988e-08
